Sample,Points,Mean,Std,Min,Max,RMS,Peak2Peak,Energy,Group
LD2-3 (1),1200,1.4162416666666664,0.03884531199371282,1.18,1.63,1.4167742998327806,0.44999999999999996,2408.6992999999993,LD
LD2-3(2),1200,-0.15827666666666668,0.05785064207844964,-0.44,0.06,0.16851765486144174,0.5,34.07784,LD
LD2-4 (1),1200,1.5654416666666664,0.045635931719303045,1.35,1.8,1.5661067173088814,0.44999999999999996,2943.2283,LD
LD2-4(2),1200,-0.09452,0.0564871336382602,-0.3,0.108,0.1101127906587907,0.408,14.549792,LD
LD2-5 (1),1200,0.008453333333333335,0.07386172546650185,-0.272,0.276,0.07434388564860821,0.548,6.632416,LD
LD2-5(2),1200,1.0993283333333332,0.053802715519035066,0.844,1.33,1.1006441371609021,0.4860000000000001,1453.70102,LD
LD3-1 (1),1200,-0.32971666666666666,0.06193200348410791,-0.548,-0.144,0.3354827168921423,0.404,135.058384,LD
LD3-1(2),1200,-0.25104000000000004,0.07793509094111586,-0.604,0.044,0.2628592018552898,0.648,82.913952,LD
LD3-2 (1),1200,0.6128199999999999,0.04809567825352573,0.416,0.824,0.614704438463451,0.408,453.433856,LD
LD3-2 (2),1200,-0.2685133333333333,0.08339018620650487,-0.596,0.044,0.2811642461859853,0.64,94.864,LD
LD3-3 (1),1200,0.008453333333333335,0.07386172546650185,-0.272,0.276,0.07434388564860821,0.548,6.632416,LD
LD3-3(2),1200,1.0993283333333332,0.053802715519035066,0.844,1.33,1.1006441371609021,0.4860000000000001,1453.70102,LD
LD3-4 (1),1200,-0.16345333333333334,0.04459739703415685,-0.472,0.168,0.16942821488760365,0.64,34.447104,LD
LD3-4 (2),1200,-0.21407666666666667,0.0834350493231445,-0.736,0.044,0.22976123839034876,0.78,63.348272,LD
LD3-5 (1),1200,2.5598166666666664,0.06326241424064968,2.21,2.82,2.560598269936149,0.6099999999999999,7867.9962,LD
LD3-5 (2),1200,-0.1467733333333333,0.07666282425153813,-0.588,0.044,0.16558864695382952,0.632,32.90352,LD
LD4-0,1200,1.1708033333333332,0.049444932219816246,0.92,1.42,1.1718469382417938,0.4999999999999999,1647.8702959999998,LD
LD4-1 ,1200,-0.3323133333333333,0.06810899467438611,-0.56,-0.08,0.3392211471395418,0.48000000000000004,138.08518400000003,LD
LD4-2,1200,-0.20934666666666665,0.06666533198663972,-0.512,0.08,0.21970501435637133,0.592,57.924352,LD
LD4-3,1200,0.7169866666666667,0.05050953529340331,0.5,0.92,0.7187635865382535,0.42000000000000004,619.9453120000001,LD
LD4-4,1200,-0.5415766666666667,0.06562870908036783,-0.768,-0.336,0.545538645132802,0.432,357.13489599999997,LD
LD4-5,1200,-0.1458266666666667,0.07504876163017096,-0.452,0.152,0.1640052844677065,0.604,32.277280000000005,LD
SS1-0,1200,-5.517866666666667,0.035042101661984945,-5.86,-5.19,5.517977935802208,0.6699999999999999,36537.696599999996,SS
SS1-1,1200,0.9211583333333332,0.046211199189758696,0.632,1.19,0.9223167297626125,0.5579999999999999,1020.80178,SS
